"player","team","position","height","weight","age","experience","salary"
"Alan Anderson","LAC","SF",78,220,34,7,1315448
"Austin Rivers","LAC","SG",76,200,24,4,1.1e+07
"Blake Griffin","LAC","PF",82,251,27,6,20140838
"Brandon Bass","LAC","PF",80,250,31,11,1551659
"Brice Johnson","LAC","PF",82,230,22,0,1273920
"Chris Paul","LAC","PG",72,175,31,11,22868828
"DeAndre Jordan","LAC","C",83,265,28,8,21165675
"Diamond Stone","LAC","C",83,255,19,0,543471
"J.J. Redick","LAC","SG",76,190,32,10,7377500
"Jamal Crawford","LAC","SG",77,200,36,16,13253012
"Luc Mbah a Moute","LAC","SF",80,230,30,8,2203000
"Marreese Speights","LAC","C",82,255,29,8,1403611
"Paul Pierce","LAC","SF",79,235,39,18,3500000
"Raymond Felton","LAC","PG",73,205,32,11,1551659
"Wesley Johnson","LAC","SF",79,215,29,6,5628000
