"","name","version","date","size"
"1","ggplot2","0.5.1",2007-06-10,1800
"2","ggplot2","0.5.2",2007-06-18,1800
"3","ggplot2","0.5.4",2007-07-08,1800
"4","ggplot2","0.5.5",2007-09-01,1800
"5","ggplot2","0.5.6",2007-10-20,1800
"6","ggplot2","0.5.7",2008-01-11,1800
"7","ggplot2","0.5",2007-06-01,7100
"8","ggplot2","0.6",2008-04-03,1900
"9","ggplot2","0.7",2008-10-05,1900
"10","ggplot2","0.8.1",2008-12-14,1900
"11","ggplot2","0.8.2",2009-02-25,2000
"12","ggplot2","0.8.3",2009-04-20,2000
"13","ggplot2","0.8.4",2009-12-09,2000
"14","ggplot2","0.8.5",2009-12-16,2000
"15","ggplot2","0.8.6",2010-02-18,2000
"16","ggplot2","0.8.7",2010-03-02,2000
"17","ggplot2","0.8.8",2010-07-05,2000
"18","ggplot2","0.8.9",2010-12-23,2000
"19","ggplot2","0.8",2008-11-21,1900
"20","ggplot2","0.9.0",2012-03-01,1600
"21","ggplot2","0.9.1",2012-05-08,9100
"22","ggplot2","0.9.2.1",2012-09-11,2200
"23","ggplot2","0.9.2",2012-09-04,2200
"24","ggplot2","0.9.3.1",2013-03-02,2200
"25","ggplot2","0.9.3",2012-12-05,2200
"26","ggplot2","1.0.0",2014-05-21,2200
"27","ggplot2","1.0.1",2015-03-17,2200
"28","ggplot2","2.0.0",2015-12-18,1500
"29","ggplot2","2.1.0",2016-03-01,1500
"30","ggplot2","2.2.0",2016-11-11,2100
