"","name","version","date","size"
"1","knitr","0.1",2012-01-17,102
"2","knitr","0.2",2012-01-28,221
"3","knitr","0.3",2012-02-28,231
"4","knitr","0.4",2012-04-29,236
"5","knitr","0.5",2012-04-29,248
"6","knitr","0.6.3",2012-06-22,292
"7","knitr","0.6",2012-06-11,286
"8","knitr","0.7",2012-07-17,325
"9","knitr","0.8",2012-09-04,425
"10","knitr","0.9",2013-01-20,431
"11","knitr","1.0.5",2013-01-21,441
"12","knitr","1.0",2013-01-14,441
"13","knitr","1.1",2013-02-16,519
"14","knitr","1.2",2013-07-16,486
"15","knitr","1.3",2013-07-15,595
"16","knitr","1.4.1",2013-08-12,725
"17","knitr","1.4",2013-08-10,725
"18","knitr","1.5",2013-09-28,720
"19","knitr","1.6",2014-05-25,967
"20","knitr","1.7",2014-10-13,807
"21","knitr","1.8",2014-11-11,782
"22","knitr","1.9",2015-01-20,659
"23","knitr","1.10.5",2015-05-06,672
"24","knitr","1.10",2015-04-23,672
"25","knitr","1.11",2015-08-14,673
"26","knitr","1.12.3",2016-01-22,811
"27","knitr","1.12",2016-01-07,686
"28","knitr","1.13",2016-05-09,866
"29","knitr","1.14",2016-08-13,1000
"30","knitr","1.15.1",2016-11-22,1000
"31","knitr","1.15",2016-11-09,1000
"32","knitr","1.16",2017-05-18,1000
"33","knitr","1.17",2017-08-10,752
"34","knitr","1.18",2017-12-27,635
"35","knitr","1.19",2018-01-29,635
