"","name","version","date","size"
"1","XML","0.2",2000-11-15,283
"2","XML","0.3-3",2000-12-12,316
"3","XML","0.6-1",2001-06-28,319
"4","XML","0.6-2",2001-06-28,318
"5","XML","0.6-3",2001-07-11,319
"6","XML","0.7-0",2001-10-28,348
"7","XML","0.7-1",2001-10-30,348
"8","XML","0.7-2",2001-11-29,348
"9","XML","0.7-3",2002-02-01,348
"10","XML","0.7-4",2002-02-08,349
"11","XML","0.7-5",2002-03-27,349
"12","XML","0.8-0",2002-04-26,349
"13","XML","0.8-2",2002-05-10,350
"14","XML","0.9-0",2002-07-14,482
"15","XML","0.9-1",2002-08-30,483
"16","XML","0.92-1",2002-10-07,510
"17","XML","0.92-2",2002-10-12,510
"18","XML","0.93-0",2002-11-06,385
"19","XML","0.93-1",2002-11-08,511
"20","XML","0.93-2",2003-03-05,511
"21","XML","0.93-3",2003-03-09,511
"22","XML","0.93-4",2003-05-04,513
"23","XML","0.94-0",2003-08-15,515
"24","XML","0.94-1",2003-08-17,532
"25","XML","0.95-0",2003-09-23,535
"26","XML","0.95-1",2003-10-01,535
"27","XML","0.95-3",2003-10-07,538
"28","XML","0.95-4",2003-10-28,539
"29","XML","0.95-6",2003-11-26,538
"30","XML","0.97-0",2004-11-22,543
"31","XML","0.97-3",2005-04-08,539
"32","XML","0.97-4",2005-05-09,546
"33","XML","0.97-6",2005-05-21,550
"34","XML","0.97-7",2005-06-02,551
"35","XML","0.97-8",2005-08-10,545
"36","XML","0.99-2",2005-12-12,552
"37","XML","0.99-4",2005-12-16,553
"38","XML","0.99-5",2005-12-21,554
"39","XML","0.99-6",2006-01-01,554
"40","XML","0.99-7",2006-04-05,561
"41","XML","0.99-8",2006-07-10,569
"42","XML","0.99-92",2006-09-11,565
"43","XML","0.99-93",2006-09-15,565
"44","XML","1.1-1",2006-10-27,782
"45","XML","1.2-0",2006-11-15,787
"46","XML","1.3-2",2006-12-10,805
"47","XML","1.4-0",2006-12-16,805
"48","XML","1.4-1",2007-01-07,795
"49","XML","1.5-1",2007-03-14,797
"50","XML","1.6-0",2007-03-15,798
"51","XML","1.6-2",2007-03-27,801
"52","XML","1.6-3",2007-04-06,801
"53","XML","1.7-1",2007-04-18,820
"54","XML","1.7-2",2007-04-23,820
"55","XML","1.7-3",2007-04-26,821
"56","XML","1.9-0",2007-05-10,829
"57","XML","1.92-0",2007-08-25,840
"58","XML","1.92-1",2007-09-01,840
"59","XML","1.93-1",2007-10-01,849
"60","XML","1.93-2",2007-10-03,850
"61","XML","1.95-1",2008-05-07,609
"62","XML","1.95-2",2008-05-13,603
"63","XML","1.95-3",2008-06-27,603
"64","XML","1.96-0",2008-07-28,700
"65","XML","1.98-0",2008-10-15,630
"66","XML","1.98-1",2008-10-20,633
"67","XML","1.99-0",2008-12-30,636
"68","XML","2.1-0",2009-02-19,638
"69","XML","2.3-0",2009-03-06,644
"70","XML","2.5-0",2009-06-02,660
"71","XML","2.5-1",2009-06-07,660
"72","XML","2.5-3",2009-06-25,661
"73","XML","2.6-0",2009-08-04,664
"74","XML","2.8-1",2010-03-21,759
"75","XML","3.1-0",2010-05-08,763
"76","XML","3.1-1",2010-08-12,761
"77","XML","3.2-0",2010-10-05,761
"78","XML","3.4-0",2011-04-30,875
"79","XML","3.4-2",2011-08-04,875
"80","XML","3.4-3",2011-09-14,885
"81","XML","3.6-0",2011-11-29,887
"82","XML","3.6-1",2011-11-30,887
"83","XML","3.6-2",2011-12-09,887
"84","XML","3.7-2",2012-01-08,890
"85","XML","3.7-3",2012-01-11,890
"86","XML","3.7-4",2012-01-12,890
"87","XML","3.8-0",2012-01-14,894
"88","XML","3.9-0",2012-01-18,901
"89","XML","3.9-2",2012-01-21,902
"90","XML","3.9-4",2012-01-31,902
"91","XML","3.95-0.1",2012-10-02,1600
"92","XML","3.95-0.2",2013-03-07,1600
"93","XML","3.95-0",2012-09-30,1600
"94","XML","3.96-0.1",2013-03-20,1600
"95","XML","3.96-0.2",2013-03-21,1600
"96","XML","3.96-1.1",2013-03-28,1500
"97","XML","3.98-1.1",2013-06-20,1500
"98","XML","3.98-1.2",2015-05-31,1500
"99","XML","3.98-1.3",2015-06-30,1500
"100","XML","3.98-1.4",2016-03-01,1500
"101","XML","3.98-1.5",2016-11-10,1500
"102","XML","3.98-1.6",2017-03-30,1500
"103","XML","3.98-1.7",2017-05-03,1500
"104","XML","3.98-1.8",2017-06-15,1500
"105","XML","3.98-1.9",2017-06-19,1500
